epoch	loss	acc	val_loss	val_acc
0	17.481700	0.690162	18.210621	0.550000
1	16.386081	0.877825	18.257477	0.500000
2	15.605121	0.945584	17.348331	0.500000
3	14.946780	0.966948	17.318890	0.600000
4	14.356403	0.970844	16.581642	0.500000
5	13.786336	0.973214	16.476971	0.500000
6	13.243969	0.976071	16.097143	0.500000
7	12.715405	0.977890	15.070450	0.450000
8	12.216940	0.980390	14.867442	0.500000
9	11.737190	0.981396	15.080164	0.450000
